iteration	val_metric	seconds	status	description
1	1.040349	174.2	ok	Cheap-ified given baseline (N_BOOT 5->3, N_CAND 2000->600, REFIT_EVERY 10->25, HGB max_iter 120->50). Original took >1000s (HGB fit = 241ms each); this is 174s. Harness floor alone is 86s.
2	1.436606	77.2	ok	Rewrite: ARD-RBF GP surrogate (hand-rolled, 10ms/fit+predict) + Expected Coverage Improvement acquisition = P(m<0)*(1-q_fail[cell]) + P(|m|<0.1)*(1-q_bnd[cell]), q from GP posterior at past queries. Correct objective for a cell-coverage metric. Also 2x faster than iter 1.
3	1.388429	87.0	worse	GP hyperparam tuning "fix": L_MIN 0.06->0.10, noise searched first over 0.5-30x base, 2 ARD sweeps. REGRESSED - wide nugget search absorbs signal into noise, inflating posterior sd and flattening the band probabilities. Reverted.
4	1.463945	83.2	ok	Structured candidate pool: uniform + 1-D level-set sweeps along a sensitivity-weighted coordinate (band reachable by moving one coord for 79%/80%/98% of random configs) + elite perturbations with per-dim step ~ lengthscale (moves along flat directions of the level set).
5	1.478027	96.5	ok	BND_WEIGHT=2.0 on the boundary term. Rationale: a failed band attempt usually still lands in m<0 and keeps fail credit, so band-seeking is cheap-downside/high-upside; pure ECI is too timid. Screened over 3 seeds (helped all 3 proxies). bw=3-4 or combining with optimistic sd both regress.
6	1.544078	103.9	ok	Y_CLIP=0.28: Winsorize observations to +-0.28 before fitting the GP. The truth is clamped at +-1.5 so a plain GP burns its lengthscales fitting crash plateaus we get no extra credit for; clipping refocuses capacity on the level set. Big gain on gbm (1.33->1.48) and rf, tiny loss on mlp (which has no clamp plateau). Exponential kernel tested and worse.
7	1.4623	31	worse-screen	Monotone response warps (signed-log, tanh) as scale-adaptive replacements for the hard +-0.28 clip, with warped thresholds so P(m<0) stays exact. Screened on 4 seeds x 3 proxies: log0.28=1.462 log0.5=1.496 log0.15=1.475 tanh0.28=1.500 tanh0.5=1.523, all below the clip base 1.576, so rejected without spending a full trial. Winsorization beats smooth compression here - hard truncation is what stops far-field crash points from dominating the lengthscale fit. Reverted.
8	1.5440	30	worse-screen	Asymmetric band weighting: split P(|m|<0.1) into P(-0.1<m<0) (worth 2 credits) and P(0<m<0.1) (worth 1) and downweight the passing half by POS_W. Screened 4 seeds: POS_W=0.6/0.3/0.0 gave 1.517/1.544/1.507 vs symmetric base 1.576; all worse. Reason: boundary cells are the SCARCE resource (LHS gets 31 of them vs 119 fail cells), so a passing-side hit still buys the expensive credit, while aiming negative risks overshooting past -0.1 and losing it to gain a cheap fail cell. Symmetric ECI is correct. Reverted.
9	1.699704	94.1	ok	Local refinement of the acquisition surface (3 rounds x 160 perturbations, step 0.30*lengthscale, shrinking 0.4x per round) starting from the pool argmax. The random pool only resolved a swept coordinate to 1/11=0.09, coarse next to the 0.10-wide band, so argmax-over-pool was leaving value on the table. Steps are lengthscale-scaled so refinement moves far along inert dims and finely along dims that move the margin. Screened: no-polish 1.576 -> 1.695 on 4 seeds. Helped all three proxies.
10	1.697824	84.4	neutral	Randomized-straddle exploration (per-step chi2(2) scaling of posterior sd, arXiv 2408.03144) + multi-start polish. Multi-start REGRESSED on screen (1.569/1.594 for 2/4 starts vs 1.695) - splitting a fixed polish budget across starts refines each too little, depth beats breadth. TS_RAND screened +0.02 on 4 seeds but is a dead heat on the full 10 (1.6978 vs 1.6997) - the screen gain was noise. Reverted both.
11	1.5613	50	worse-screen	Surrogate swap to a bootstrap random forest (60 trees, OOB predictions for denoising at queried points, per-tree spread as sigma), plus an additive/product ANOVA kernel mixture for the GP. Offline the forest is clearly the better regressor on ALL 3 proxies (RMSE gbm .130 vs .165, rf .094 vs .121, mlp .182 vs .183) but in the loop it LOSES: 1.561 vs 1.700, mlp collapsing 1.866->1.489. Cause: a forest is piecewise constant, so the acquisition-polish step from iter 9 has flat plateaus to climb and its +0.12 evaporates; tree spread is also a poorly calibrated sigma. Better offline accuracy != better sequential search. Additive kernel ADD_MIX=0.5 gave 1.712 vs 1.695, within noise, at 2x runtime. Both reverted.
12	1.751380	92.0	ok	WARMUP 28->20. Re-tuned after iter 9: acquisition polish made the guided phase much more productive per query, so the optimal LHS warmup shrinks. Pre-polish WARMUP=16 was neutral and 40 was worse; post-polish 20 wins. Screened 1.749 vs 1.715 on 5 seeds, confirmed 1.751 vs 1.700 on the full 10. Also re-screened BND_WEIGHT (1.5/2.5 both worse, 2.0 still optimal) and PERT=0.8 (worse).
13	1.770605	111.1	ok	ARD_EVERY 25->15 (refit lengthscales every 15 queries). Same re-tuning logic as iter 12: polish exploits the posterior much harder, so lengthscale quality is worth more compute than it was pre-polish (where ard12 REGRESSED, 1.520 vs 1.576). Screen was non-monotone (ard10 1.665, ard15 1.845, ard20 1.747) so confirmed on the full 10 seeds: 1.771 vs 1.751.
14	1.7318	47	worse-screen	Two-scale mixture kernel (K_MIX*shorter-lengthscale RBF added to the main one, to model a broad trend and sharp regime edges at once while staying smooth) and a deeper ARD tune (2 coordinate-ascent sweeps). Screened 5 seeds: kmix 0.3/0.5 = 1.732/1.720, kmix0.3+ratio0.15 = 1.670, 2 sweeps = 1.772, all below base 1.845. The single-scale ARD kernel with one sweep is already at the right complexity for 200 noisy points; extra kernel capacity just overfits. Reverted.
15	1.7887	41	worse-screen	Online sd calibration: track the one-step-ahead standardised residual z=(y-mu)/sqrt(sd^2+noise^2) of each query BEFORE it enters the model and rescale the posterior sd by its running RMS (self-tuning, no free parameter). Screened 5 seeds: 1.698 as-is, 1.789 with BND_WEIGHT back to 1.0, 1.753 at bw=1.5, vs base 1.845. Confirms the MECHANISM - once sd is calibrated the principled BND_WEIGHT=1.0 becomes the best setting, so bw=2 really was compensating for an optimistic posterior - but the hand-tuned distortion still wins on the metric. Reverted.
